GENE	Wt0A T-1.5	Wt0A T0	Wt0A T2	wtsF T2
yvdG	-0.782408565	8.515699838	2	-0.974004791
yqgI	-4.375039431	-6.826548487	-3.321928095	3.321928095
sspE	-3	-0.415037499	5.14974712	5.564784619
yydF	0	7.50779464	0	-1.609624555
ywcI	0	5.624490865	6.678071905	-0.511752654
srfAB	1.863722736	1.109654695	7.147204925	-1.53491184
comS	2.338322533	0.79970135	7.129283017	-1.449655696
ypzA	-1.584962501	-2.584962501	4.169925001	3.584962501
yqgJ	-4.392317423	0	-5.169925001	2
yxbC	1.906890596	5.560925736	5.659890988	-1.506789017
aroB	0.469485283	4.656347134	6.394033895	-0.854842447
ybcO	2.321928095	0	7.033423002	-0.384429513
yxbB	0.610053482	4.927952211	4.79658045	-1.935304232
cotE	-0.415037499	0	4.550197083	6.357552005
ywkC	0	4.560714954	5.285402219	-1.30954437
yvaY	3.169925001	6.229886958	3.169925001	-1.429987841
bpr	-0.292180751	5.832016976	3.277337944	-0.851945073
sigF	-1.169925001	3.078002512	4.087462841	-2.184424571
fhuG	-1.058893689	0	4.209453366	5.209453366
prkA	0	0	6.06608919	0
yjbX	1.263034406	-1	5.335390355	4.875958736
ybcP	1.807354922	5.826548487	3.087462841	-1.36099766
murC	-0.80644671	2.879923548	5.566664842	-0.264974732
yjbS	0.73940877	1.013477504	5.44625623	-1.65808043
spoIVCA	0	0	3.632268215	5.95419631
yxeF	0	4.584962501	-1.584962501	-1.584962501
hisB	2.137503524	-3.807354922	-3.688055994	0
cotK	0	0	5.426264755	4.426264755
yjdB	0	4.426264755	0	-2.415037499
yxxG	-1.16421135	-1.236376651	3.874469118	-2.546192931
csn	2.584962501	5.329123596	2.824428435	-1.482392767
patA	0	-0.584962501	3.95419631	4.95419631
yyaH	0.152003093	4.164571767	3.161234041	-1.75859561
yueK	-0.038474148	5.727920455	4.247927513	0.925999419
yodT	0.263034406	0	4.545968369	4.867896464
yitM	0	4.309855263	3.64385619	-0.941106311
sspB	-0.415037499	-0.222392421	3.963474124	4.285402219
yfmT	-0.533123569	-5.201633861	-1.637429921	0.710493383
yxeD	1	-1.584962501	2.736965594	4.321928095
yncM	2.455194626	4.353280514	4.378511623	-0.957261528
yfmG	2.187627003	3.932313192	-0.2410081	-1.659509454
