GENE	A1 1hr	A1 24h	A1 4 w	A1 64	A1 6h	A1_72h	A1 72h2
0910001E01	0	0	-0.12	0	0	-1.5	0
1200009E01	-0.56	0	0	0	2.61	-1.26	-0.9
2310004E01	-0.27	0	0	-0.36	-0.58	-0.42	-0.07
1500006E02	0.27	0.32	0.38	3.62	2.51	0.24	-0.03
1810010E02	0	0	0	0.39	-1.18	-2.83	-1.52
2310034E03	-0.03	-0.32	-1.19	0.16	-2.27	-1.04	-0.93
2610016E04	0.3	-0.98	0.45	0.05	0.13	-1.07	-0.63
1810043E06	0	0	-0.33	2.46	2.02	-1.24	-1.07
1200017E09	0.59	0	0	0	0	0	0
2510030E10	0.04	-0.77	-0.4	0.86	0.05	-0.55	-1.16
0610039E12	-0.3	3.33	-0.1	3.81	1.81	-0.31	-0.55
2810403E12	0	0	1.76	0	0	0.47	0.33
2810003E15	-0.48	0	-0.46	-0.22	-2.03	-0.9	-1.01
1200002E16	0	0	0	0	4.92	0	0.36
2310041E16	-0.86	0	-0.04	-1.86	0.11	0	-1.6
2310079E19	-2.2	0	0	0	2.7	0	0
